name,TRI,mean_elev,median_elev,min_elev,max_elev,Nearest_Dist,nearest_occ,richness,presence,area,mean_csi,sd_csi,lineage,dispersal,n_habitat,archipelago
Baltra,7.936431941,30.97311581,29,1,78,6706.850183,0,4,1,25371916.97,0.178413562,0.01268657,finches,high,29,galap
Bartolome,27.52418998,31.54205607,27,-8,91,18271.68117,18271.68117,0,0,1265897.37,0,0,finches,high,29,galap
Cuatro Hermanos Sur,87.99598936,79.14166667,77,-1,167,19722.20194,30753.62504,0,0,686204.0753,0.098124489,0,finches,high,29,galap
Darwin,59.75326159,-101.6607143,-121.5,-161,0,38847.83137,0,3,1,664341.1752,0,0,finches,high,29,galap
EspaÃ±ola,12.18023057,71.94861018,75,-3,207,67145.68723,0,3,1,61054846.72,0.187373122,0.001039959,finches,high,29,galap
Fernandina,21.64556894,311.343109,161,-10,1477,41426.18228,0,10,1,647785026.1,0.148749769,0.01700149,finches,high,29,galap
Floreana,19.11833818,164.8181054,145,-20,560,16169.12804,0,10,1,173255834.2,0.158659022,0.010021321,finches,high,29,galap
Gardner por Floreana,78.31791334,89.60902256,82,-1,195,16169.12804,16169.12804,0,0,791816.4569,0,0,finches,high,29,galap
Genovesa,10.92290616,42.01221567,45,5,75,57757.60233,0,4,1,13832951.77,0.147535771,0.00680423,finches,high,29,galap
Isabela,16.10624491,306.6805381,172,-1057,1702,41426.18228,0,11,1,4728218061,0.157322469,0.01592323,finches,high,29,galap
Marchena,13.73683298,96.36198435,73,-91,331,42254.12446,0,7,1,131794446.7,0.224926487,0.008964501,finches,high,29,galap
Pinta,28.64550413,172.7404841,128,-97,630,42254.12446,0,9,1,59696119.52,0.232972001,0.003244833,finches,high,29,galap
PinzÃ³n,46.82150366,190.0009699,181,-10,451,22390.83241,0,9,1,18035543.75,0.129259989,0,finches,high,29,galap
Rabida,62.397596,141.6627771,130,5,343,16421.93813,0,8,1,4968698.379,0.125556799,0.01843358,finches,high,29,galap
San Cristobal,13.40334824,142.0904041,92,-115,713,67145.68723,0,9,1,560242636.4,0.207429454,0.005613187,finches,high,29,galap
Santa Cruz,10.0243467,173.6622068,121,-579,1564,21385.25983,0,10,1,987013955.1,0.173693454,0.010444653,finches,high,29,galap
Santa FÃ©,28.11331344,107.9841044,112,-28,254,39583.45659,0,8,1,24559640.41,0.181641519,0,finches,high,29,galap
Santiago,15.21005891,182.9695419,111,-1493,905,16421.93813,0,10,1,577341229.9,0.175264352,0.013162276,finches,high,29,galap
Seymour Norte,10.27119411,18.23780488,17,3,37,6706.850183,0,4,1,1913015.615,0.117863677,0.005831038,finches,high,29,galap
Tortuga,76.60837382,55.61538462,57.5,-1,101,19722.20194,50334.58362,0,0,1238707.216,0.104198247,0.023199143,finches,high,29,galap
Wolf,97.52925398,85.12206573,86,-381,242,38847.83137,0,3,1,1238815.62,0.177495554,0.00672335,finches,high,29,galap
