"acceptedScientificName","genericName","specificEpithet","decimalLongitude","decimalLatitude","first","second","third","datasetKey","areas"
"Tetragnatha tantalus Gillespie, 1992","Tetragnatha","tantalus",-157.812073,21.339627,"USA","Hawaii","Oahu","50c9509d-22c7-4a22-a47d-8c48425ef4a7",1801687500
"Tetragnatha tantalus Gillespie, 1992","Tetragnatha","tantalus",-157.811011,21.337991,"USA","Hawaii","Oahu","50c9509d-22c7-4a22-a47d-8c48425ef4a7",1801687500
"Tetragnatha trituberculata Gillespie, 1992","Tetragnatha","trituberculata",-156.234128,20.933007,"Hawaii","Maui",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",2165812500
"Tetragnatha hawaiensis Simon, 1900","Tetragnatha","hawaiensis",-157.787888,21.368212,"USA","Hawaii","Oahu","50c9509d-22c7-4a22-a47d-8c48425ef4a7",1801687500
"Tetragnatha quasimodo Gillespie, 1992","Tetragnatha","quasimodo",-155.664493,19.314871,"USA","Hawaii",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",11824312500
"Tetragnatha quasimodo Gillespie, 1992","Tetragnatha","quasimodo",-155.632965,19.376699,"USA","Hawaii",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",11824312500
"Tetragnatha perkinsi Simon, 1900","Tetragnatha","perkinsi",-155.632315,20.112929,"USA","Hawaii",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",11824312500
"Tetragnatha quasimodo Gillespie, 1992","Tetragnatha","quasimodo",-155.367021,19.67181,"USA","Hawaii",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",11824312500
"Tetragnatha quasimodo Gillespie, 1992","Tetragnatha","quasimodo",-155.367021,19.67181,"USA","Hawaii",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",11824312500
"Tetragnatha quasimodo Gillespie, 1992","Tetragnatha","quasimodo",-155.367021,19.67181,"USA","Hawaii",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",11824312500
"Tetragnatha tantalus Gillespie, 1992","Tetragnatha","tantalus",-157.813417,21.331747,"USA","Hawaii","Oahu","50c9509d-22c7-4a22-a47d-8c48425ef4a7",1801687500
"Tetragnatha tantalus Gillespie, 1992","Tetragnatha","tantalus",-157.813252,21.331541,"USA","Hawaii","Oahu","50c9509d-22c7-4a22-a47d-8c48425ef4a7",1801687500
"Tetragnatha tantalus Gillespie, 1992","Tetragnatha","tantalus",-157.813308,21.331828,"USA","Hawaii","Oahu","50c9509d-22c7-4a22-a47d-8c48425ef4a7",1801687500
"Tetragnatha tantalus Gillespie, 1992","Tetragnatha","tantalus",-157.81285,21.332158,"USA","Hawaii","Oahu","50c9509d-22c7-4a22-a47d-8c48425ef4a7",1801687500
"Tetragnatha tantalus Gillespie, 1992","Tetragnatha","tantalus",-157.807081,21.344558,"USA","Hawaii","Oahu","50c9509d-22c7-4a22-a47d-8c48425ef4a7",1801687500
"Tetragnatha quasimodo Gillespie, 1992","Tetragnatha","quasimodo",-155.239111,19.413378,"USA","Hawaii",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",11824312500
"Tetragnatha stelarobusta Gillespie, 1992","Tetragnatha","stelarobusta",-156.302728,20.878839,"USA","Hawaii","Maui","50c9509d-22c7-4a22-a47d-8c48425ef4a7",2165812500
"Tetragnatha brevignatha Gillespie, 1992","Tetragnatha","brevignatha",-155.331469,19.675007,"USA","Hawaii",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",11824312500
"Tetragnatha brevignatha Gillespie, 1992","Tetragnatha","brevignatha",-155.367321,19.67144,"USA","Hawaii",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",11824312500
"Tetragnatha quasimodo Gillespie, 1992","Tetragnatha","quasimodo",-156.884003,20.820777,"USA","Hawaii","Lanai","50c9509d-22c7-4a22-a47d-8c48425ef4a7",419687500
"Tetragnatha paludicola Gillespie, 1992","Tetragnatha","paludicola",-156.385259,20.84508,"USA","Hawaii","Maui","50c9509d-22c7-4a22-a47d-8c48425ef4a7",2165812500
"Tetragnatha quasimodo Gillespie, 1992","Tetragnatha","quasimodo",-155.367823,19.671967,"USA","Hawaii",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",11824312500
"Tetragnatha quasimodo Gillespie, 1992","Tetragnatha","quasimodo",-156.899947,21.145931,"USA","Hawaii","Molokai","50c9509d-22c7-4a22-a47d-8c48425ef4a7",780312500
"Tetragnatha hawaiensis Simon, 1900","Tetragnatha","hawaiensis",-155.223046,19.568668,"USA","Hawaii",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",11824312500
"Tetragnatha quasimodo Gillespie, 1992","Tetragnatha","quasimodo",-155.76514,19.222723,"USA","Hawaii",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",11824312500
"Tetragnatha acuta Gillespie, 1992","Tetragnatha","acuta",-155.694592,19.379982,"USA","Hawaii",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",11824312500
"Tetragnatha quasimodo Gillespie, 1992","Tetragnatha","quasimodo",-155.796303,19.249413,"USA","Hawaii",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",11824312500
"Tetragnatha quasimodo Gillespie, 1992","Tetragnatha","quasimodo",-155.740996,19.261235,"USA","Hawaii",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",11824312500
"Tetragnatha quasimodo Gillespie, 1992","Tetragnatha","quasimodo",-155.700435,19.227282,"USA","Hawaii",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",11824312500
"Tetragnatha quasimodo Gillespie, 1992","Tetragnatha","quasimodo",-155.799035,19.242878,"USA","Hawaii",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",11824312500
"Tetragnatha netrix Simon, 1900","Tetragnatha","netrix",-155.3262,19.7895,"USA","Hawaii",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",11824312500
"Tetragnatha brevignatha Gillespie, 1992","Tetragnatha","brevignatha",-155.229879,19.401906,"USA","Hawaii",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",11824312500
"Tetragnatha acuta Gillespie, 1992","Tetragnatha","acuta",-155.964081,19.73993,"USA","Hawaii",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",11824312500
"Tetragnatha brevignatha Gillespie, 1992","Tetragnatha","brevignatha",-155.635895,19.182397,"USA","Hawaii",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",11824312500
"Tetragnatha quasimodo Gillespie, 1992","Tetragnatha","quasimodo",-155.219162,19.43075,"USA","Hawaii",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",11824312500
"Tetragnatha quasimodo Gillespie, 1992","Tetragnatha","quasimodo",-155.635987,19.18242,"USA","Hawaii",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",11824312500
"Tetragnatha quasimodo Gillespie, 1992","Tetragnatha","quasimodo",-155.323334,19.875226,"USA","Hawaii",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",11824312500
"Tetragnatha tantalus Gillespie, 1992","Tetragnatha","tantalus",-157.811172,21.341847,"USA","Hawaii","Oahu","50c9509d-22c7-4a22-a47d-8c48425ef4a7",1801687500
"Tetragnatha polychromata Gillespie, 1992","Tetragnatha","polychromata",-158.009891,21.405181,"USA","Hawaii","Oahu","50c9509d-22c7-4a22-a47d-8c48425ef4a7",1801687500
"Tetragnatha quasimodo Gillespie, 1992","Tetragnatha","quasimodo",-155.351996,19.66697,"USA","Hawaii",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",11824312500
"Tetragnatha tantalus Gillespie, 1992","Tetragnatha","tantalus",-157.811362,21.338064,"USA","Hawaii","Oahu","50c9509d-22c7-4a22-a47d-8c48425ef4a7",1801687500
"Tetragnatha tantalus Gillespie, 1992","Tetragnatha","tantalus",-157.811042,21.338109,"USA","Hawaii","Oahu","50c9509d-22c7-4a22-a47d-8c48425ef4a7",1801687500
"Tetragnatha tantalus Gillespie, 1992","Tetragnatha","tantalus",-157.811042,21.338109,"USA","Hawaii","Oahu","50c9509d-22c7-4a22-a47d-8c48425ef4a7",1801687500
"Tetragnatha hawaiensis Simon, 1900","Tetragnatha","hawaiensis",-155.238501,19.413883,"USA","Hawaii",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",11824312500
"Tetragnatha lena Gillespie, 2003","Tetragnatha","lena",-157.818463,21.333635,"USA","Hawaii","Oahu","50c9509d-22c7-4a22-a47d-8c48425ef4a7",1801687500
"Tetragnatha hawaiensis Simon, 1900","Tetragnatha","hawaiensis",-155.26944,19.55969,"USA","Hawaii",NA,"5d283bb6-64dd-4626-8b3b-a4e8db5415c3",11824312500
"Tetragnatha trituberculata Gillespie, 1992","Tetragnatha","trituberculata",-156.22764,20.7799,"USA","Hawaii","Maui","5d283bb6-64dd-4626-8b3b-a4e8db5415c3",2165812500
"Tetragnatha hawaiensis Simon, 1900","Tetragnatha","hawaiensis",-155.23093,19.56286,"USA","Hawaii",NA,"5d283bb6-64dd-4626-8b3b-a4e8db5415c3",11824312500
"Tetragnatha brevignatha Gillespie, 1992","Tetragnatha","brevignatha",-155.23093,19.56286,"USA","Hawaii",NA,"5d283bb6-64dd-4626-8b3b-a4e8db5415c3",11824312500
"Tetragnatha hawaiensis Simon, 1900","Tetragnatha","hawaiensis",-155.26944,19.55969,"USA","Hawaii",NA,"5d283bb6-64dd-4626-8b3b-a4e8db5415c3",11824312500
"Tetragnatha hawaiensis Simon, 1900","Tetragnatha","hawaiensis",-155.23093,19.56286,"USA","Hawaii",NA,"5d283bb6-64dd-4626-8b3b-a4e8db5415c3",11824312500
"Tetragnatha hawaiensis Simon, 1900","Tetragnatha","hawaiensis",-155.23093,19.56286,"USA","Hawaii",NA,"5d283bb6-64dd-4626-8b3b-a4e8db5415c3",11824312500
"Tetragnatha hawaiensis Simon, 1900","Tetragnatha","hawaiensis",-155.23093,19.56286,"USA","Hawaii",NA,"5d283bb6-64dd-4626-8b3b-a4e8db5415c3",11824312500
"Tetragnatha trituberculata Gillespie, 1992","Tetragnatha","trituberculata",-156.22764,20.7799,"USA","Hawaii","Maui","5d283bb6-64dd-4626-8b3b-a4e8db5415c3",2165812500
"Tetragnatha hawaiensis Simon, 1900","Tetragnatha","hawaiensis",-155.23093,19.56286,"USA","Hawaii",NA,"5d283bb6-64dd-4626-8b3b-a4e8db5415c3",11824312500
"Tetragnatha eurychasma Gillespie, 1992","Tetragnatha","eurychasma",-156.22764,20.7799,"USA","Hawaii","Maui","5d283bb6-64dd-4626-8b3b-a4e8db5415c3",2165812500
"Tetragnatha perkinsi Simon, 1900","Tetragnatha","perkinsi",-155.23093,19.56286,"USA","Hawaii",NA,"5d283bb6-64dd-4626-8b3b-a4e8db5415c3",11824312500
"Tetragnatha eurychasma Gillespie, 1992","Tetragnatha","eurychasma",-156.22741,20.77989,"USA","Hawaii","Maui","5d283bb6-64dd-4626-8b3b-a4e8db5415c3",2165812500
"Tetragnatha hawaiensis Simon, 1900","Tetragnatha","hawaiensis",-155.23093,19.56286,"USA","Hawaii",NA,"5d283bb6-64dd-4626-8b3b-a4e8db5415c3",11824312500
"Tetragnatha quasimodo Gillespie, 1992","Tetragnatha","quasimodo",-155.23093,19.56286,"USA","Hawaii",NA,"5d283bb6-64dd-4626-8b3b-a4e8db5415c3",11824312500
"Tetragnatha perkinsi Simon, 1900","Tetragnatha","perkinsi",-155.23093,19.56286,"USA","Hawaii",NA,"5d283bb6-64dd-4626-8b3b-a4e8db5415c3",11824312500
"Tetragnatha filiciphilia Gillespie, 1992","Tetragnatha","filiciphilia",-156.25465,20.8016,"USA","Hawaii","Maui","5d283bb6-64dd-4626-8b3b-a4e8db5415c3",2165812500
"Tetragnatha hawaiensis Simon, 1900","Tetragnatha","hawaiensis",-155.26944,19.55969,"USA","Hawaii",NA,"5d283bb6-64dd-4626-8b3b-a4e8db5415c3",11824312500
"Tetragnatha trituberculata Gillespie, 1992","Tetragnatha","trituberculata",-156.22761,20.77982,"USA","Hawaii","Maui","5d283bb6-64dd-4626-8b3b-a4e8db5415c3",2165812500
"Tetragnatha trituberculata Gillespie, 1992","Tetragnatha","trituberculata",-156.22752,20.78003,"USA","Hawaii","Maui","5d283bb6-64dd-4626-8b3b-a4e8db5415c3",2165812500
"Tetragnatha hawaiensis Simon, 1900","Tetragnatha","hawaiensis",-155.23093,19.56286,"USA","Hawaii",NA,"5d283bb6-64dd-4626-8b3b-a4e8db5415c3",11824312500
"Tetragnatha acuta Gillespie, 1992","Tetragnatha","acuta",-156.22756,20.7799,"USA","Hawaii","Maui","5d283bb6-64dd-4626-8b3b-a4e8db5415c3",2165812500
"Tetragnatha hawaiensis Simon, 1900","Tetragnatha","hawaiensis",-155.26944,19.55969,"USA","Hawaii",NA,"5d283bb6-64dd-4626-8b3b-a4e8db5415c3",11824312500
"Tetragnatha acuta Gillespie, 1992","Tetragnatha","acuta",-156.22761,20.77982,"USA","Hawaii","Maui","5d283bb6-64dd-4626-8b3b-a4e8db5415c3",2165812500
"Tetragnatha hawaiensis Simon, 1900","Tetragnatha","hawaiensis",-155.23093,19.56286,"USA","Hawaii",NA,"5d283bb6-64dd-4626-8b3b-a4e8db5415c3",11824312500
"Tetragnatha hawaiensis Simon, 1900","Tetragnatha","hawaiensis",-155.23093,19.56286,"USA","Hawaii",NA,"5d283bb6-64dd-4626-8b3b-a4e8db5415c3",11824312500
"Tetragnatha stelarobusta Gillespie, 1992","Tetragnatha","stelarobusta",-156.22768,20.78004,"USA","Hawaii","Maui","5d283bb6-64dd-4626-8b3b-a4e8db5415c3",2165812500
"Tetragnatha stelarobusta Gillespie, 1992","Tetragnatha","stelarobusta",-156.2528,20.79883,"USA","Hawaii","Maui","5d283bb6-64dd-4626-8b3b-a4e8db5415c3",2165812500
"Tetragnatha eurychasma Gillespie, 1992","Tetragnatha","eurychasma",-156.2275,20.77988,"USA","Hawaii","Maui","5d283bb6-64dd-4626-8b3b-a4e8db5415c3",2165812500
"Tetragnatha anuenue Gillespie, 2002","Tetragnatha","anuenue",-155.23093,19.56286,"USA","Hawaii",NA,"5d283bb6-64dd-4626-8b3b-a4e8db5415c3",11824312500
"Tetragnatha filiciphilia Gillespie, 1992","Tetragnatha","filiciphilia",-156.2528,20.79883,"USA","Hawaii","Maui","5d283bb6-64dd-4626-8b3b-a4e8db5415c3",2165812500
"Tetragnatha hawaiensis Simon, 1900","Tetragnatha","hawaiensis",-155.23093,19.56286,"USA","Hawaii",NA,"5d283bb6-64dd-4626-8b3b-a4e8db5415c3",11824312500
"Tetragnatha stelarobusta Gillespie, 1992","Tetragnatha","stelarobusta",-156.25287,20.79894,"USA","Hawaii","Maui","5d283bb6-64dd-4626-8b3b-a4e8db5415c3",2165812500
"Tetragnatha anuenue Gillespie, 2002","Tetragnatha","anuenue",-155.23093,19.56286,"USA","Hawaii",NA,"5d283bb6-64dd-4626-8b3b-a4e8db5415c3",11824312500
"Tetragnatha trituberculata Gillespie, 1992","Tetragnatha","trituberculata",-156.22741,20.77989,"USA","Hawaii","Maui","5d283bb6-64dd-4626-8b3b-a4e8db5415c3",2165812500
"Tetragnatha anuenue Gillespie, 2002","Tetragnatha","anuenue",-155.24842,19.46171,"USA","Hawaii",NA,"5d283bb6-64dd-4626-8b3b-a4e8db5415c3",11824312500
"Tetragnatha hawaiensis Simon, 1900","Tetragnatha","hawaiensis",-155.24842,19.46171,"USA","Hawaii",NA,"5d283bb6-64dd-4626-8b3b-a4e8db5415c3",11824312500
"Tetragnatha anuenue Gillespie, 2002","Tetragnatha","anuenue",-155.24842,19.46171,"USA","Hawaii",NA,"5d283bb6-64dd-4626-8b3b-a4e8db5415c3",11824312500
"Tetragnatha hawaiensis Simon, 1900","Tetragnatha","hawaiensis",-155.23093,19.56286,"USA","Hawaii",NA,"5d283bb6-64dd-4626-8b3b-a4e8db5415c3",11824312500
"Tetragnatha hawaiensis Simon, 1900","Tetragnatha","hawaiensis",-155.24842,19.46171,"USA","Hawaii",NA,"5d283bb6-64dd-4626-8b3b-a4e8db5415c3",11824312500
"Tetragnatha filiciphilia Gillespie, 1992","Tetragnatha","filiciphilia",-156.2528,20.79883,"USA","Hawaii","Maui","5d283bb6-64dd-4626-8b3b-a4e8db5415c3",2165812500
"Tetragnatha anuenue Gillespie, 2002","Tetragnatha","anuenue",-155.24842,19.46171,"USA","Hawaii",NA,"5d283bb6-64dd-4626-8b3b-a4e8db5415c3",11824312500
"Tetragnatha perkinsi Simon, 1900","Tetragnatha","perkinsi",-155.24842,19.46171,"USA","Hawaii",NA,"5d283bb6-64dd-4626-8b3b-a4e8db5415c3",11824312500
"Tetragnatha perkinsi Simon, 1900","Tetragnatha","perkinsi",-155.24842,19.46171,"USA","Hawaii",NA,"5d283bb6-64dd-4626-8b3b-a4e8db5415c3",11824312500
"Tetragnatha quasimodo Gillespie, 1992","Tetragnatha","quasimodo",-155.24842,19.46171,"USA","Hawaii",NA,"5d283bb6-64dd-4626-8b3b-a4e8db5415c3",11824312500
"Tetragnatha anuenue Gillespie, 2002","Tetragnatha","anuenue",-155.24842,19.46171,"USA","Hawaii",NA,"5d283bb6-64dd-4626-8b3b-a4e8db5415c3",11824312500
"Tetragnatha filiciphilia Gillespie, 1992","Tetragnatha","filiciphilia",-156.2528,20.79883,"USA","Hawaii","Maui","5d283bb6-64dd-4626-8b3b-a4e8db5415c3",2165812500
"Tetragnatha perkinsi Simon, 1900","Tetragnatha","perkinsi",-155.24842,19.46171,"USA","Hawaii",NA,"5d283bb6-64dd-4626-8b3b-a4e8db5415c3",11824312500
"Tetragnatha hawaiensis Simon, 1900","Tetragnatha","hawaiensis",-155.24842,19.46171,"USA","Hawaii",NA,"5d283bb6-64dd-4626-8b3b-a4e8db5415c3",11824312500
"Tetragnatha hawaiensis Simon, 1900","Tetragnatha","hawaiensis",-155.24842,19.46171,"USA","Hawaii",NA,"5d283bb6-64dd-4626-8b3b-a4e8db5415c3",11824312500
"Tetragnatha filiciphilia Gillespie, 1992","Tetragnatha","filiciphilia",-156.25287,20.79886,"USA","Hawaii","Maui","5d283bb6-64dd-4626-8b3b-a4e8db5415c3",2165812500
"Tetragnatha hawaiensis Simon, 1900","Tetragnatha","hawaiensis",-155.24842,19.46171,"USA","Hawaii",NA,"5d283bb6-64dd-4626-8b3b-a4e8db5415c3",11824312500
"Tetragnatha filiciphilia Gillespie, 1992","Tetragnatha","filiciphilia",-156.25285,20.79891,"USA","Hawaii","Maui","5d283bb6-64dd-4626-8b3b-a4e8db5415c3",2165812500
"Tetragnatha anuenue Gillespie, 2002","Tetragnatha","anuenue",-155.24842,19.46171,"USA","Hawaii",NA,"5d283bb6-64dd-4626-8b3b-a4e8db5415c3",11824312500
