"Island","Nearest_Dist"
"Cuba",19290.8916927163
"Cayo Güincho",19438.3596252026
"Cayo Moa Grande",167804.387327301
"Cayo Algodón Grande",36069.7591523008
"Cayo Punta de los Machos",3843.25825069028
"Cayo Balandras",3843.25825069028
"Hog Cay",4239.28421916495
"Margaret Cay",2460.22370488051
"Cayo Antón Chico",5571.6048804252
"Cayo Romano",9016.96389061045
"Cayo Salinas",4585.07548095914
"Cayo El Sapo",8618.05096581373
"Cotton Cay",8630.3800727108
"Anguilla Cay",8630.3800727108
"Cayos Pingues",3275.73698700061
"Cayo Guanal",9016.96389061045
"Cayos de la Enfermeria",3889.36165179587
"Las Picus",7026.33517373296
"Cayo Esquivel del Sur",6234.8828758535
"Cayo Empalizada de Sotavento",6748.59784816072
"Hispaniola",151045.29177589
"Juventud",30820.0056483453
"Long",10066.9355353424
"Acklins",30146.7665524865
"Cayo Coco",23230.5387849138
"Cayo Las Caguamas",27944.1114243243
"Cayo Piedra Grande",9097.63790147454
"Cayo Punta Iguna",3275.73698700061
"Cayo Miraflores",6311.15914148803
"Cayo Mangle Alto",10110.289674179
"Cayo Grande",9808.52679547894
"Cayo Guásimas",5080.87093103281
"Cayo Ávalos",5742.97377761642
"Cayo Hicacos",4108.08505918496
"Cayo Matías",7265.02733995725
"Cayo Campos",5423.16245000234
"Cayo Palma",4108.08505918496
"Cayo Rico",14152.5862799843
"Cayo Rabihorcado",5253.96777393354
"Cayo Cantiles",14666.8011702855
"Cayo Estopa",7476.02790251371
"Cayo del Rosario",8303.60724259874
"Cayo Divisa de Piedra",7476.02790251371
"Cayo Largo",17957.2328891362
"Cayo San Juan",4498.66767595387
"Cayo Sifonte",5329.70906984099
"Cayo Guao",5329.70906984099
"Cayo de Navío",8495.81292592458
"Cayo Guajaba",9741.07442905636
"Cayo Montañés",4700.13255655955
"Cayo La Alegría",4700.13255655955
"Cayo Coco.1",8627.60456799099
"Cayo Real",10668.7641115729
"Cayo Rancho de Cándido",11417.3816473885
"Cayo Redondo",7317.53777454972
"Cayo Alacrán Chico",6638.13666335349
"Cayo Ernest Thaelmann",11417.3816473885
"Cayo Diego Pérez",9517.72524937218
"Cayo de la Pipa",10631.6383274698
"Cayo Juan Ruíz",29689.0196633024
"Little Ragged Island",4559.28773745703
"Cayo del Masío",9517.72524937218
"Ragged Island",4559.28773745703
"Cayo Cuarto",19096.776743604
"Cayo Judas",28710.9576634478
"Cayo Cruz",13439.8877044265
"Cayo Mégano Grande",10161.041449278
"Raccoon Cay",7640.95024022312
"Cayo de Buenavista",13472.9099902453
"Cayo Antón Grande",5571.6048804252
"Bonavista Cay",4247.66934313127
"Cayo Lucas",4627.33389371443
"Cayo La Aguada",5143.07165880034
"Nurse Cay",4247.66934313127
"Cayo Paredón Grande",8420.90419649714
"Cayo Mal País",18442.5646851177
"Cayo Rapado Grande",12527.936685358
"Cayo Botella",6756.88383007704
"Cayo Pueblo Viejo",5426.48099039398
"Cayo Guzmán",5284.39455547563
"Cayo La Potala",4219.57748425847
"Cayo Guillermo",6756.88383007704
"Cayo Iguana",5959.9121219136
"Cayo Tío Pepe",4388.40374589851
"Cayo Punta Tierra del Guzmán",5284.39455547563
"Cayo Francés",4219.57748425847
"Cayo Majá",7970.33923878914
"Long Cay",22072.6704416477
"Cayo Redondo.1",3089.08274146861
"Cayo Coruita",6418.84045781553
"Cayo Fragoso",21589.9568755701
"Cayo Inés de Soto",3089.08274146861
"Cayo del Medio de Marcos",4055.2544715224
"Crooked Island",22072.6704416477
"Cayo Marcos",3836.11400480219
"Cayo Levisa",7904.95042145968
"Cayo Lanzanillo",7168.10074574279
"Cayo Tumba la Olla",2994.10093259787
"Cayo Los Quitasoles",2293.47882770169
"Cayo Hachuela",1981.75578538592
"Cayo Mariposa",1981.75578538592
"Cayo de la Cruz",3502.33526784222
"Cayo Las Picúas",7336.20584682495
"Cayo Iguana.1",2530.54146017564
"Los Conucos",6812.98958264343
"Cayo del Cristo",2530.54146017564
"Cayo Piedra del Obispo",6748.59784816072
"Cayo La Yana",8084.25930757054
"Cayo Blanquizal",8752.29460509665
"Cayo Genovés",5956.83960220443
"Cayo Bahía de Cádiz",6113.41609537001
"Cayo Cabezos",5230.98712513822
"Cayo Anclitas",6311.15914148803
"Cayo Grande.1",3978.52235273733
"Cayo Grande.2",3978.52235273733
"Cayos Cinco Balas",2777.834255098
"Cayos Cinco Balas.1",2777.834255098
"Cayos Cinco Balas.3",4110.66601845829
"Cayos Aguardiente",3171.21380860839
"Cayos Aguardiente.1",3171.21380860839
"Cayo Coco.2",5253.96777393354
"Cayo San Juan.1",4498.66767595387
"Cayos Boca de Alonso",5550.06373973872
"Cayo de los Indios",27652.201854732
"Cayos de San Felipe",8627.60456799099
"Cayo Grande.3",6134.42493739803
"Cayo Grande.4",6134.42493739803
"Cayo Grande.5",6638.13666335349
"Castle",49340.5611195666
"Cayos de la Herradura",5781.10729945141
"Cayo Jutias",12527.936685358
"Cayeria Las Cayamas",2967.44438912204
"Cayeria Las Cayamas.1",2200.82973095925
"Cayeria Las Cayamas.2",2200.82973095925
"Cayo Santa Maria",5959.9121219136
"Cayos Pajonal",3836.11400480219
"Cayo Medano de Casiguas",7904.95042145968
"Cayos Jutias",2293.47882770169
"Cayos Dromedarios",2994.10093259787
"Cayos de las Cinco Leguas",5956.83960220443
"Long.1",3702.90020417011
"Long.2",4517.75895819111
"Long.3",3702.90020417011
"Cayos Falcones",5230.98712513822
"Long.4",3775.7405573659
"Cayos Blancos",4016.25606328421
"Maycock Cay",2460.22370488051
"Cayo Los Cayuelos",4585.07548095914
"Isla Beata",151045.29177589
"Île à Vache",29500.1260123727
"Isla Saona",41392.390111356
"Île Grosse Caye",29500.1260123727
"Isla Catalina",41392.390111356
"Grande Cayemite",56587.7072769732
"Île de la Gonâve",78360.7541028589
"Jamaica",41089.5101317695
"Great Goat Island",41089.5101317695
"Puerto Rico",36959.988271389
"Pineros",21356.8385046191
"Trinidad",47655.5611064346
"Gaspar Grande",4571.07391161921
"Chacachacare",6854.45422331497
"Monos",4571.07391161921
"North Andros",15203.0966727693
"Yellow Cay",4900.86958092699
"High Ridge Cay",2774.40270664292
"Middle Bight Cay",5363.16827622445
"Reids Cay",2614.2654366208
"Pine Tree Cay",2722.67844490219
"Madiera Cay",1688.46935207179
"Pine Cay",4229.55935088617
"Pot Cay",5481.5583353236
"Big Wood Cay",3439.88580904735
"Williams Island",6537.83410560955
"Andros",8106.85154429567
"Andros.1",4900.86958092699
"Andros.2",2774.40270664292
"Andros.3",2614.2654366208
"Andros.4",1688.46935207179
"Andros.5",4682.26704497706
"Andros.6",4682.26704497706
"Andros.7",14739.607369159
"Andros.9",1694.58299137322
"Andros.10",3630.05659636463
"Andros.11",1803.10114679732
"Andros.12",1803.10114679732
"Andros.13",1694.58299137322
"Andros.14",3630.05659636463
"Andros.15",3245.30277149221
"Andros.16",5636.5986226252
"Great Inagua",58867.5691550043
"South Andros",13395.7964564727
"Linder Cay",2737.11857479102
"Andros.18",6982.8895012711
"Andros.19",6291.51253943267
"Andros.20",4909.64903099379
"Andros.21",6982.8895012711
"Andros.24",5139.13924644407
"Andros.25",6495.68355683032
"Andros.27",6495.68355683032
"Andros.28",5884.40904624784
"Andros.29",3700.78473625648
"Andros.30",2333.68006857468
"Andros.31",2333.68006857468
"Andros.32",2737.11857479102
"Martinique",84158.1739750346
"Great Abaco",3262.95083481388
"Gorda Cay",16707.7046893768
"Top Cay",7320.84917777844
"Moore?s Island",7320.84917777844
"Tilloo Cay",3042.86974896246
"Lubbers Quarters",3042.86974896246
"Long Cay.1",2663.37045694299
"Lightbourn?s Cay",3126.92462745342
"Big Lake Cay",7205.39794934001
"Great Guana Cay",6877.29505563437
"Green Turtle Cay",7450.76228232209
"Basin Harbour Cay",6710.40401413856
"Nun Jack Cay",7450.76228232209
"Randalls Cay",6710.40401413856
"Powell Cay",7804.7617892357
"Wood Cay",6170.48046431758
"Great Abaco.2",3262.95083481388
"Great Abaco.3",4288.08600601499
"Great Abaco.4",2720.16145206113
"Great Abaco.5",2720.16145206113
"Great Abaco.6",3956.99300537396
"Great Abaco.9",2040.28789419403
"Great Abaco.10",2040.28789419403
"Great Abaco.13",3618.4916571148
"Great Abaco.16",1756.01605104554
"Great Abaco.17",4480.27255514193
"Great Abaco.18",1756.01605104554
"Big Cross Cay",2490.0000240018
"Michael's Cay",2490.0000240018
"Big Coppice Mangrove",6800.33621557937
"Big Joe Downer Cay",3534.08711367652
"Scotland Cay",6877.29505563437
"Little Joe Downer Cay",3534.08711367652
"Grand Bahama",15760.0466317502
"August Cay",4463.43997967324
"Man o? War Cay",17790.6878043367
"Water Cay",2637.60201326964
"Grand Bahama.1",1030.55884495203
"Grand Bahama.2",1030.55884495203
"Grand Bahama.3",1257.67128031535
"Grand Bahama.4",1257.67128031535
"Sweetings Cay",3126.92462745342
"Grand Bahama.5",11273.5666769627
"Grand Bahama.6",2637.60201326964
"The Bahamas",6807.35928791449
"Guadeloupe",40390.2023140892
"Marie Galante",31059.2696980282
"Dominica",54141.6482634618
"Saint Lucia",75934.5721010733
"Rum Cay Island",31429.5768525805
"Crooked",2079.605698065
"Acklins.1",2079.605698065
"Barbados",172740.345219257
"Eleuthera",54782.1916809776
"Current Island",17254.7706601117
"Harbour Island",14644.3982191427
"Russel Island",7774.01666619706
"Cat",50991.9310001613
"St Vincent",27258.877505822
"Grenada",23737.7610964687
"Tobago",114198.488416572
"Mayaguana",61772.2351821317
"Grand Turk",16740.2347504379
"Antigua",56167.02515358
"New Providence",10962.8760096489
"Paradise Island",10575.5893943936
"St. Croix",67079.0590154668
"Great Exuma",13235.4871592286
"Coakley Cay",19023.6330974545
"Little Exuma",8559.16217910548
"Moriah Harbour Cay",8559.16217910548
"Stocking Island",8465.63884670106
"Great Exuma.1",8465.63884670106
"North Caicos",7549.24087677628
"Middle Caicos",19568.1376346034
"Parrot Cay",2643.78828246847
"North Caicos.1",4199.10324717767
"North Caicos.2",4199.10324717767
"Grand Cayman",132749.590664412
"East Caicos",18638.9147508081
"Tortue",128958.667994774
"Barbuda",10982.2792801575
"Barbuda.1",10982.2792801575
"St Kitts",27755.2370660582
"San Salvador",54735.2757049792
"Viegues",21356.8385046191
"Little Inagua",58867.5691550043
"Montserrat",56167.02515358
"Ronde Island",23737.7610964687
"Petite Martinique",8625.80358257219
"Carriacou Island",8625.80358257219
"Terre-de-Bas",5429.80671960468
"Terre de Bas",18273.4965854997
"La Désirade",18273.4965854997
"Nevis",28534.7547470467
"Sint Eustatius",27755.2370660582
"Saba Island",31876.6782757837
"Île Saint-Barthélemy",30474.8127064887
"Anguilla",13994.2265289385
"Dog Island",21966.0152505749
"Scrub Island",13994.2265289385
"Little Cayman",25798.1397147257
"Cayman Brac Island",25798.1397147257
"Samana Cay",42669.3921146439
"Cayo Blanco",4016.25606328421
"Cayo Galindo",3327.67331067223
"Cayo Cruz del Padre",3327.67331067223
"Hog Cay.2",12119.3589288534
"Allen Cay",7393.24063850945
"Lee Stocking Island",4073.50774285974
"Norman?s Pond Cay",4073.50774285974
"Bock Cay",2797.81210741839
"Young Island",2797.81210741839
"Conception Island",31429.5768525805
"Darby Island",3688.52280350414
"Rudder Cut Cay",3688.52280350414
"Big Farmer?s Cay",9183.19691921266
"Green Cay",47534.9422466064
"Great Guana Cay.1",14336.824371284
"Staniel Cay",5983.46235250763
"Spanish Wells",9058.26731505721
"Sampson Cay",5340.45384625814
"Pipe Cay",2638.19943896417
"Compass Cay",2638.19943896417
"Bell Island",5949.40237000307
"Halls Pond Cay",5328.0573983312
"Waderick Wells Cay",5328.0573983312
"Hawksbill Cay",5271.50639860621
"Shroud Cay",1300.43367676517
"Shroud Cay.1",1300.43367676517
"Little San Salvador",50991.9310001613
"Norman?s Cay Island",9831.37730127195
"Gold Cay",6537.83410560955
"Highbourn Cay",11033.4192879537
"Ship Channel Cay",11033.4192879537
"Frazer?s Hog Cay",9006.35470362924
"Whale Cay",9006.35470362924
"Bonds Cay",10411.1537614793
"Royal Island",7774.01666619706
"Hoffman Cay",15463.3098637
"South Bimini Cay",5515.87349987842
"North Bimini",5515.87349987842
"Bamboo Cay",17026.2503670068
"Elbow Cay",4167.85714242653
"Big Cross Cay.1",1605.02114420648
"Cross Cays",1605.02114420648
"Little Cave Cay",4354.79384335212
"Allan Cay",19117.7470858658
"Great Sale Cay",17421.5002162374
"Old Yankee Land",7823.85411379725
"Grand Cay",27280.740523284
"Union",6765.86269590077
"Mayreau",6765.86269590077
"Canouan",11167.055292176
"Mustique",8867.75424928418
"Baliceaux",8867.75424928418
"A Quatre",6598.34445148955
"Bequia",6598.34445148955
"Terre de Haut",5429.80671960468
"Caja de Muertos",36959.988271389
"Mona",83941.7220490572
"Saint Martin/Sint Maarten",17039.9433566878
"Cayo Luis Pena",4703.7745178971
"de Culebra",4703.7745178971
"Norman",4706.86742559562
"Water",3666.24123397198
"St. Thomas",3666.24123397198
"Peter",4706.86742559562
"St. John",12057.7012001934
"Cooper",7605.45623102008
"Hans Lollik",6363.7225546275
"Navassa",135543.564121267
"Beef",3850.65220994471
"Tortola",8354.95864447764
"Jost Van Dyke",12057.7012001934
"Guana",3897.91053034708
"Great Camanoe",3850.65220994471
"Virgin Gorda",14130.3802125924
"Anegada",28737.4568818519
"Little Ambergris Cay",6097.7738168381
"Big Ambergris Cay",6097.7738168381
"Salt Cay",16740.2347504379
"South Caicos",18638.9147508081
"West Caicos",24299.9318662655
"Providenciales",17704.584780726
"Little Water & Pine Cay",5671.8917948038
"Dellis Cay",2643.78828246847
"Plana Cays",10649.5720595094
"Plana Cays.1",10649.5720595094
"Andros.33",1648.5103833689
"Andros.34",1648.5103833689
"Andros.36",6141.03183275698
"Andros.37",3010.8759206979
"Andros.38",2148.31164324339
"Andros.39",2148.31164324339
"Andros.42",3010.8759206979
"Rose",10575.5893943936
"Joulter Cays",2383.39245302838
"Joulter Cays.1",2383.39245302838
"West End Cay",4354.79384335212
"Strangers Cay",7823.85411379725
"Cayo Media Luna",22397.4494503505
